PKNC_1,PKNC_2,PKNC_3,PKNC_4,PKNC_5,PKNC_6,PKNC_7,PKNC_8,PKNC_9,PKNC_10,PKNC_11,PKNC_12,PKNC_13,PKNC_14,PKNC_15,PKNC_16,PKNC_17,PKNC_18,PKNC_19,PKNC_20,PKNC_21
0,0,0.15784045,0,0.06313618,0,0,0.03156809,0.06313618,0.09470427,0.06313618,0.03156809,0.03156809,0,0.03156809,0,0.08407846,0.10878698,0.10437213,0.0711435,0.06339332
0,0,0.15472296,0,0.06188918,0,0,0.03094459,0.03094459,0.09283378,0.09283378,0.03094459,0.03094459,0,0.03094459,0,0.08810312,0.12410139,0.10189373,0.06087491,0.06802419
0.02999172,0.02999172,0.05998344,0.02999172,0.08997515,0.02999172,0,0,0.05998344,0.05998344,0.11996687,0,0,0,0.02999172,0,0.08280164,0.11774553,0.10724719,0.06775147,0.08460324
0,0.02936238,0,0,0,0.08808714,0,0.11744952,0.02936238,0.05872476,0.02936238,0,0,0.02936238,0.08808714,0.05872476,0.08218723,0.12296574,0.11351822,0.08685586,0.06595013
0,0.03193594,0,0.06387188,0.06387188,0,0.03193594,0,0,0.09580782,0.09580782,0.06387188,0.03193594,0,0.09580782,0,0.06788918,0.07203271,0.09212148,0.09438983,0.09871987
0.05684237,0.02842119,0,0.02842119,0.02842119,0.11368474,0.02842119,0.08526356,0,0.05684237,0,0,0.02842119,0.02842119,0.02842119,0,0.07238243,0.09262976,0.09181842,0.1066287,0.12495935
0,0.0929214,0,0,0.0929214,0,0.0309738,0.0309738,0,0.0619476,0.0619476,0.0619476,0.0309738,0,0.0619476,0.0309738,0.07246669,0.08664114,0.11127973,0.091621,0.08046302
0.02760314,0.02760314,0,0.02760314,0,0.02760314,0.05520629,0.05520629,0.05520629,0.05520629,0.05520629,0.02760314,0,0.02760314,0.05520629,0,0.07894521,0.09515499,0.10973613,0.10843866,0.11086844
0,0.03168212,0,0.06336425,0.06336425,0,0.06336425,0,0,0.06336425,0.09504637,0.06336425,0.03168212,0,0.09504637,0,0.06734962,0.06935535,0.09089716,0.09123408,0.11088558
0.11378783,0.05689392,0.05689392,0,0.02844696,0,0.02844696,0,0.11378783,0,0.05689392,0,0,0,0.02844696,0.02844696,0.08911046,0.10891238,0.07150283,0.09792187,0.12050723
0.02863974,0.02863974,0,0.02863974,0.05727949,0.02863974,0,0.05727949,0.02863974,0,0.02863974,0.02863974,0,0.05727949,0.05727949,0.08591923,0.07152059,0.11095804,0.10903193,0.10192881,0.09104524
0.08569798,0.02856599,0.08569798,0,0.05713198,0,0,0,0.02856599,0.05713198,0.02856599,0.02856599,0.02856599,0,0,0.08569798,0.06362897,0.09611816,0.1000645,0.10536371,0.1206368
0.05799751,0.05799751,0.05799751,0,0,0.02899875,0.02899875,0.05799751,0.08699626,0,0.02899875,0,0,0.02899875,0,0.08699626,0.08133136,0.10983009,0.0795903,0.09544376,0.11182689
0.02597135,0.02597135,0.0519427,0,0.0519427,0,0,0,0,0.02597135,0.07791404,0.0519427,0.02597135,0.02597135,0.02597135,0.07791404,0.05864207,0.10847147,0.13024889,0.12585715,0.10929615
0.02955743,0.02955743,0.05911485,0.02955743,0.02955743,0.02955743,0,0.08867228,0.02955743,0.02955743,0.02955743,0,0.02955743,0.08867228,0,0.02955743,0.07568306,0.11261678,0.10074545,0.08769977,0.09122126
0,0,0.05403458,0.02701729,0.02701729,0.02701729,0.02701729,0.02701729,0.02701729,0.05403458,0,0.02701729,0.02701729,0.02701729,0.02701729,0.10806916,0.07335022,0.10418652,0.1223863,0.10923916,0.10452657
0.02964585,0.02964585,0.02964585,0,0.02964585,0.02964585,0,0.05929171,0,0.02964585,0.02964585,0.05929171,0.02964585,0.02964585,0.08893756,0.05929171,0.07068745,0.09947831,0.09799934,0.10584795,0.09236158
0.05136129,0.02568065,0.05136129,0,0.07704194,0,0,0,0.02568065,0.02568065,0.07704194,0.02568065,0,0,0.02568065,0.07704194,0.0561857,0.0987705,0.12374163,0.13577078,0.12327973
